ubigeo,dominio,trabaja,p506,tamanoemp,horas,ingreso,sexo,edad,edociv,educ,informal,anio,id,anoseduc,exp,exp2,sector
150101,8,1,5020,1,60,1455,1,41,2,8,1,2023,23519,15,26,676,1
150101,8,1,5520,1,32,256,0,39,5,6,1,2023,23529,11,28,784,3
150101,8,1,6023,1,40,1100,1,34,1,6,0,2023,23532,11,23,529,1
150101,8,1,8021,5,52,950,0,65,5,6,0,2023,23535,11,54,2916,1
150101,8,1,4540,1,40,145,1,50,5,5,1,2023,23539,9,41,1681,7
150101,8,1,4540,1,40,145,1,48,1,0,1,2023,23540,NA,NA,NA,7
150101,8,0,2691,5,0,2450,1,52,2,6,0,2023,23541,11,41,1681,3
150101,8,1,8022,5,40,1580,0,60,1,8,0,2023,23545,15,45,2025,1
150105,8,1,7499,5,45,1380,1,43,4,8,0,2023,23551,15,28,784,13
150105,8,1,7511,5,48,1740,1,58,2,8,0,2023,23552,15,43,1849,3
150105,8,1,8010,1,44,907,0,54,2,8,0,2023,23553,15,39,1521,14
150105,8,1,2924,4,36,895,1,24,1,9,0,2023,23554,16,8,64,3
150105,8,1,7512,5,30,1500,0,47,5,8,0,2023,23560,15,32,1024,3
150105,8,1,9500,1,30,125,0,19,1,7,1,2023,23562,13,6,36,8
150105,8,1,113,1,40,300,1,62,6,7,1,2023,23565,13,49,2401,3
150105,8,0,8010,5,0,2130,0,60,6,8,0,2023,23566,15,45,2025,14
150121,8,1,6603,5,40,3440,0,45,4,9,0,2023,23568,16,29,841,1
150121,8,1,9500,1,48,1300,0,29,5,4,1,2023,23571,6,23,529,8
150121,8,1,7512,5,40,5530,1,47,6,10,0,2023,23572,17,30,900,3
150121,8,1,7220,5,40,4740,0,44,6,10,0,2023,23573,17,27,729,3
150121,8,1,2421,5,48,9850,1,51,2,10,0,2023,23576,17,34,1156,3
150121,8,1,7010,5,40,3045,0,46,2,10,0,2023,23577,17,29,841,13
150121,8,1,5220,5,40,1012,0,27,1,8,0,2023,23591,15,12,144,3
150136,8,1,7512,5,15,9480,0,42,2,10,0,2023,23592,17,25,625,3
150136,8,1,7523,5,55,10780,1,48,2,11,0,2023,23593,19,29,841,3
150136,8,0,9500,1,0,1000,0,40,1,6,1,2023,23595,11,29,841,8
150136,8,1,6519,1,40,913,0,46,4,10,0,2023,23599,17,29,841,3
150116,8,1,7412,1,14,950,0,62,2,10,0,2023,23604,17,45,2025,3
150115,8,1,5239,1,47,3235,1,39,1,10,0,2023,23608,17,22,484,3
150115,8,1,6023,1,26,1323,1,30,1,6,0,2023,23609,11,19,361,1
150115,8,1,6023,5,27,1392,1,28,1,8,0,2023,23611,15,13,169,1
150115,8,1,5520,1,56,1025,1,63,2,6,0,2023,23612,11,52,2704,3
150115,8,1,7511,5,48,2000,1,21,1,6,1,2023,23614,11,10,100,3
150115,8,1,5131,1,72,1685,1,19,1,6,1,2023,23617,11,8,64,3
150115,8,1,8511,1,72,565,0,26,1,9,0,2023,23619,16,10,100,3
150115,8,1,9500,1,15,280,0,28,5,5,1,2023,23620,9,19,361,8
150115,8,1,9500,1,84,200,0,73,1,3,1,2023,23622,3,70,4900,8
150115,8,1,2423,3,68,1145,1,26,6,6,0,2023,23623,11,15,225,3
150115,8,1,5030,1,48,300,1,31,6,6,1,2023,23626,11,20,400,1
150115,8,1,5020,1,60,250,1,20,1,7,1,2023,23627,13,7,49,1
150115,8,1,5520,1,48,957,1,25,6,5,0,2023,23629,9,16,256,3
150115,8,1,1810,1,48,400,1,26,1,7,1,2023,23630,13,13,169,3
150115,8,1,5122,1,90,430,1,28,6,6,1,2023,23631,11,17,289,3
150115,8,1,2423,1,48,930,0,39,1,8,1,2023,23635,15,24,576,3
150115,8,1,9301,1,70,600,1,32,6,6,1,2023,23637,11,21,441,3
150131,8,1,7010,1,36,3100,0,42,2,11,0,2023,23648,19,23,529,13
150131,8,1,8511,5,36,4000,0,57,5,10,0,2023,23649,17,40,1600,3
150131,8,1,6309,5,40,2436,0,26,1,10,0,2023,23650,17,9,81,2
150131,8,1,1551,4,40,1870,1,22,1,10,1,2023,23651,17,5,25,3
150131,8,1,8010,1,40,2175,0,39,2,10,0,2023,23658,17,22,484,14
150131,8,1,5149,3,12,4740,1,82,2,10,0,2023,23665,17,65,4225,3
150131,8,1,7511,5,40,3555,0,64,2,10,0,2023,23669,17,47,2209,3
150131,8,1,5139,4,48,4020,0,29,1,11,1,2023,23671,19,10,100,3
150141,8,1,5239,1,48,1155,1,47,2,6,0,2023,23673,11,36,1296,3
150141,8,1,5239,1,48,980,0,52,2,8,1,2023,23674,15,37,1369,3
150141,8,1,9500,1,40,1305,0,53,4,11,0,2023,23677,19,34,1156,8
150141,8,1,9249,3,40,1187,0,26,1,10,0,2023,23678,17,9,81,3
150141,8,0,7511,5,0,892,0,53,5,6,0,2023,23682,11,42,1764,3
150140,8,1,8511,5,30,5530,1,67,2,11,0,2023,23686,19,48,2304,3
150140,8,1,1711,4,40,3255,0,33,1,8,0,2023,23687,15,18,324,3
150140,8,1,8511,3,50,5530,0,38,1,10,0,2023,23689,17,21,441,3
150140,8,1,1320,4,40,5765,0,51,2,11,0,2023,23691,19,32,1024,3
150104,8,1,4520,2,48,445,1,50,5,6,1,2023,23703,11,39,1521,3
150104,8,1,5234,3,48,390,1,21,1,6,1,2023,23704,11,10,100,3
150108,8,1,2691,1,44,2260,1,50,2,7,1,2023,23708,13,37,1369,3
